"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990-06","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","233.634","","","","3"
"1990-07","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","215.944","","","","3"
"1990-08","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","200.735","","","","3"
"1990-09","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","182.282","","","","3"
"1990-10","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","170.737","","","","3"
"1990-11","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","158.970","","","","3"
"1990-12","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","151.902","","","","3"
"1991-01","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","143.334","","","","3"
"1991-02","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","135.549","","","","3"
"1991-03","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","131.231","","","","3"
"1991-04","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","129.115","","","","3"
"1991-05","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","130.510","","","","3"
"1991-06","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","133.177","","","","3"
"1991-07","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","143.349","","","","3"
"1991-08","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","153.291","","","","3"
"1991-09","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","162.247","","","","3"
"1991-10","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","171.906","","","","3"
"1991-11","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","175.459","","","","3"
"1991-12","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","176.669","","","","3"
"1992-01","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","175.608","","","","3"
"1992-02","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","174.981","","","","3"
"1992-03","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","175.859","","","","3"
"1992-04","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","171.869","","","","3"
"1992-05","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","171.238","","","","3"
"1992-06","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","172.004","","","","3"
"1992-07","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","173.536","","","","3"
"1992-08","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","171.569","","","","3"
"1992-09","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","171.100","","","","3"
"1992-10","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","170.505","","","","3"
"1992-11","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","170.682","","","","3"
"1992-12","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","170.332","","","","3"
"1993-01","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","163.793","","","","3"
"1993-02","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","161.672","","","","3"
"1993-03","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","158.390","","","","3"
"1993-04","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","158.421","","","","3"
"1993-05","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","154.461","","","","3"
"1993-06","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","151.250","","","","3"
"1993-07","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","156.276","","","","3"
"1993-08","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","158.270","","","","3"
"1993-09","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","158.431","","","","3"
"1993-10","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","158.040","","","","3"
"1993-11","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","160.880","","","","3"
"1993-12","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","162.994","","","","3"
"1994-01","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","159.055","","","","3"
"1994-02","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","156.111","","","","3"
"1994-03","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","155.496","","","","3"
"1994-04","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","155.215","","","","3"
"1994-05","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","154.830","","","","3"
"1994-06","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","156.070","","","","3"
"1994-07","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","158.408","","","","3"
"1994-08","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","159.669","","","","3"
"1994-09","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","160.179","","","","3"
"1994-10","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","158.407","","","","3"
"1994-11","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","155.507","","","","3"
"1994-12","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","148.174","","","","3"
"1995-01","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","143.624","","","","3"
"1995-02","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","138.927","","","","3"
"1995-03","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","129.597","","","","3"
"1995-04","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","123.738","","","","3"
"1995-05","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","115.983","","","","3"
"1995-06","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","113.815","","","","3"
"1995-07","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","108.524","","","","3"
"1995-08","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","106.153","","","","3"
"1995-09","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","108.357","","","","3"
"1995-10","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","107.680","","","","3"
"1995-11","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","110.525","","","","3"
"1995-12","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","111.752","","","","3"
"1996-01","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","111.405","","","","3"
"1996-02","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","110.507","","","","3"
"1996-03","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","110.269","","","","3"
"1996-04","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","109.498","","","","3"
"1996-05","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","111.805","","","","3"
"1996-06","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","115.089","","","","3"
"1996-07","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","119.742","","","","3"
"1996-08","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","124.145","","","","3"
"1996-09","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","128.447","","","","3"
"1996-10","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","130.459","","","","3"
"1996-11","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","132.424","","","","3"
"1996-12","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","132.128","","","","3"
"1997-01","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","132.753","","","","3"
"1997-02","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","135.898","","","","3"
"1997-03","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","136.956","","","","3"
"1997-04","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","141.144","","","","3"
"1997-05","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","142.809","","","","3"
"1997-06","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","144.003","","","","3"
"1997-07","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","147.357","","","","3"
"1997-08","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","148.321","","","","3"
"1997-09","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","149.972","","","","3"
"1997-10","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","150.518","","","","3"
"1997-11","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","150.178","","","","3"
"1997-12","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","150.842","","","","3"
"1998-01","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","146.936","","","","3"
"1998-02","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","144.910","","","","3"
"1998-03","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","143.533","","","","3"
"1998-04","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","143.311","","","","3"
"1998-05","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","142.013","","","","3"
"1998-06","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","139.133","","","","3"
"1998-07","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","138.027","","","","3"
"1998-08","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","137.984","","","","3"
"1998-09","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","137.126","","","","3"
"1998-10","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","135.934","","","","3"
"1998-11","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","134.422","","","","3"
"1998-12","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","136.214","","","","3"
"1999-01","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","137.317","","","","3"
"1999-02","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","136.893","","","","3"
"1999-03","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","137.309","","","","3"
"1999-04","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","138.648","","","","3"
"1999-05","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","142.061","","","","3"
"1999-06","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","143.914","","","","3"
"1999-07","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","146.294","","","","3"
"1999-08","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","148.389","","","","3"
"1999-09","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","150.846","","","","3"
"1999-10","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","152.000","","","","3"
"1999-11","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","154.289","","","","3"
"1999-12","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","155.698","","","","3"
"2000-01","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","154.309","","","","3"
"2000-02","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","153.951","","","","3"
"2000-03","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","153.585","","","","3"
"2000-04","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","154.215","","","","3"
"2000-05","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","150.690","","","","3"
"2000-06","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","145.813","","","","3"
"2000-07","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","150.722","","","","3"
"2000-08","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","150.698","","","","3"
"2000-09","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","152.464","","","","3"
"2000-10","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","153.997","","","","3"
"2000-11","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","156.091","","","","3"
"2000-12","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","158.127","","","","3"
"2001-01","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","157.312","","","","3"
"2001-02","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","156.658","","","","3"
"2001-03","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","154.308","","","","3"
"2001-04","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","154.273","","","","3"
"2001-05","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","154.720","","","","3"
"2001-06","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","160.044","","","","3"
"2001-07","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","157.902","","","","3"
"2001-08","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","161.468","","","","3"
"2001-09","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","162.694","","","","3"
"2001-10","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","163.364","","","","3"
"2001-11","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","165.781","","","","3"
"2001-12","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","165.952","","","","3"
"2002-01","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","176.867","","","","3"
"2002-02","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","179.620","","","","3"
"2002-03","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","187.239","","","","3"
"2002-04","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","190.951","","","","3"
"2002-05","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","197.112","","","","3"
"2002-06","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","201.712","","","","3"
"2002-07","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","199.069","","","","3"
"2002-08","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","204.497","","","","3"
"2002-09","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","203.669","","","","3"
"2002-10","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","209.151","","","","3"
"2002-11","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","210.343","","","","3"
"2002-12","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","209.097","","","","3"
"2003-01","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","207.531","","","","3"
"2003-02","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","211.548","","","","3"
"2003-03","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","211.326","","","","3"
"2003-04","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","208.859","","","","3"
"2003-05","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","205.086","","","","3"
"2003-06","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","206.901","","","","3"
"2003-07","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","213.018","","","","3"
"2003-08","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","212.945","","","","3"
"2003-09","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","218.988","","","","3"
"2003-10","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","226.241","","","","3"
"2003-11","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","229.742","","","","3"
"2003-12","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","231.056","","","","3"
"2004-01","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","225.720","","","","3"
"2004-02","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","221.950","","","","3"
"2004-03","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","223.712","","","","3"
"2004-04","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","221.750","","","","3"
"2004-05","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","224.441","","","","3"
"2004-06","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","227.298","","","","3"
"2004-07","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","232.372","","","","3"
"2004-08","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","240.717","","","","3"
"2004-09","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","239.821","","","","3"
"2004-10","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","239.395","","","","3"
"2004-11","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","241.676","","","","3"
"2004-12","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","240.947","","","","3"
"2005-01","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","234.446","","","","3"
"2005-02","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","225.259","","","","3"
"2005-03","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","220.929","","","","3"
"2005-04","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","222.913","","","","3"
"2005-05","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","219.076","","","","3"
"2005-06","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","220.401","","","","3"
"2005-07","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","231.161","","","","3"
"2005-08","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","230.677","","","","3"
"2005-09","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","233.848","","","","3"
"2005-10","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","228.483","","","","3"
"2005-11","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","230.546","","","","3"
"2005-12","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","229.933","","","","3"
"2006-01","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","225.564","","","","3"
"2006-02","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","230.345","","","","3"
"2006-03","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","233.196","","","","3"
"2006-04","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","235.631","","","","3"
"2006-05","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","233.155","","","","3"
"2006-06","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","234.557","","","","3"
"2006-07","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","237.618","","","","3"
"2006-08","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","233.126","","","","3"
"2006-09","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","225.604","","","","3"
"2006-10","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","225.181","","","","3"
"2006-11","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","227.483","","","","3"
"2006-12","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","222.347","","","","3"
"2007-01","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","222.827","","","","3"
"2007-02","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","220.550","","","","3"
"2007-03","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","223.317","","","","3"
"2007-04","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","222.489","","","","3"
"2007-05","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","222.824","","","","3"
"2007-06","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","225.817","","","","3"
"2007-07","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","222.221","","","","3"
"2007-08","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","227.909","","","","3"
"2007-09","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","239.227","","","","3"
"2007-10","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","240.428","","","","3"
"2007-11","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","239.866","","","","3"
"2007-12","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","230.938","","","","3"
"2008-01","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","227.498","","","","3"
"2008-02","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","227.954","","","","3"
"2008-03","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","219.406","","","","3"
"2008-04","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","217.734","","","","3"
"2008-05","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","217.009","","","","3"
"2008-06","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","225.096","","","","3"
"2008-07","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","223.782","","","","3"
"2008-08","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","221.247","","","","3"
"2008-09","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","219.924","","","","3"
"2008-10","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","219.336","","","","3"
"2008-11","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","209.428","","","","3"
"2008-12","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","197.165","","","","3"
"2009-01","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","186.756","","","","3"
"2009-02","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","169.521","","","","3"
"2009-03","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","154.807","","","","3"
"2009-04","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","136.808","","","","3"
"2009-05","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","129.853","","","","3"
"2009-06","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","128.590","","","","3"
"2009-07","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","129.466","","","","3"
"2009-08","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","137.743","","","","3"
"2009-09","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","141.988","","","","3"
"2009-10","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","154.646","","","","3"
"2009-11","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","162.275","","","","3"
"2009-12","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","167.346","","","","3"
"2010-01","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","176.273","","","","3"
"2010-02","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","182.499","","","","3"
"2010-03","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","187.439","","","","3"
"2010-04","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","190.642","","","","3"
"2010-05","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","195.097","","","","3"
"2010-06","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","198.089","","","","3"
"2010-07","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","198.916","","","","3"
"2010-08","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","197.199","","","","3"
"2010-09","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","195.604","","","","3"
"2010-10","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","190.130","","","","3"
"2010-11","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","189.086","","","","3"
"2010-12","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","185.040","","","","3"
"2011-01","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","180.716","","","","3"
"2011-02","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","178.550","","","","3"
"2011-03","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","178.284","","","","3"
"2011-04","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","180.584","","","","3"
"2011-05","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","180.336","","","","3"
"2011-06","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","185.259","","","","3"
"2011-07","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","191.890","","","","3"
"2011-08","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","193.954","","","","3"
"2011-09","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","198.002","","","","3"
"2011-10","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","202.125","","","","3"
"2011-11","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","200.877","","","","3"
"2011-12","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","201.515","","","","3"
"2012-01","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","200.363","","","","3"
"2012-02","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","202.897","","","","3"
"2012-03","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","203.645","","","","3"
"2012-04","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","210.414","","","","3"
"2012-05","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","215.059","","","","3"
"2012-06","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","218.604","","","","3"
"2012-07","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","220.173","","","","3"
"2012-08","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","224.288","","","","3"
"2012-09","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","225.954","","","","3"
"2012-10","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","218.064","","","","3"
"2012-11","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","215.794","","","","3"
"2012-12","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","212.218","","","","3"
"2013-01","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","204.218","","","","3"
"2013-02","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","196.402","","","","3"
"2013-03","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","189.425","","","","3"
"2013-04","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","184.991","","","","3"
"2013-05","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","184.285","","","","3"
"2013-06","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","182.888","","","","3"
"2013-07","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","188.362","","","","3"
"2013-08","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","188.832","","","","3"
"2013-09","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","190.970","","","","3"
"2013-10","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","194.409","","","","3"
"2013-11","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","194.192","","","","3"
"2013-12","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","193.175","","","","3"
"2014-01","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","191.158","","","","3"
"2014-02","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","191.845","","","","3"
"2014-03","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","186.500","","","","3"
"2014-04","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","186.229","","","","3"
"2014-05","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","186.532","","","","3"
"2014-06","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","188.114","","","","3"
"2014-07","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","191.014","","","","3"
"2014-08","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","191.700","","","","3"
"2014-09","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","196.529","","","","3"
"2014-10","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","193.432","","","","3"
"2014-11","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","193.055","","","","3"
"2014-12","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","190.102","","","","3"
"2015-01","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","187.522","","","","3"
"2015-02","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","179.410","","","","3"
"2015-03","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","179.556","","","","3"
"2015-04","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","179.902","","","","3"
"2015-05","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","180.933","","","","3"
"2015-06","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","185.028","","","","3"
"2015-07","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","185.877","","","","3"
"2015-08","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","197.426","","","","3"
"2015-09","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","202.736","","","","3"
"2015-10","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","205.073","","","","3"
"2015-11","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","207.270","","","","3"
"2015-12","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","202.167","","","","3"
"2016-01","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","199.669","","","","3"
"2016-02","Canada","2016A000011124","Units","300","thousands","3","v52300185","1","199.158","","","","3"
